timestamp,n,m,ph1,ph2,ph3,ph4,power_dbm,freq_hz
2026-04-07T18:30:40.237650,0,0,0,0,0,0,-61.1100,2345000000.10
2026-04-07T18:30:41.324975,0,1,0,1,2,3,-63.0300,2345000000.10
2026-04-07T18:30:42.413233,0,2,0,2,4,6,-65.0200,2345000000.00
2026-04-07T18:30:43.504466,0,3,0,3,6,9,-68.4900,2345000000.10
2026-04-07T18:30:44.588610,0,4,0,4,8,12,-73.0700,2345000000.00
2026-04-07T18:30:45.680013,0,5,0,5,10,15,-81.2600,2344999999.80
2026-04-07T18:30:46.767433,0,6,0,6,12,18,-79.1100,2345000000.19
2026-04-07T18:30:47.857563,0,7,0,7,14,21,-72.5800,2345000000.00
2026-04-07T18:30:48.941535,0,8,0,8,16,24,-69.1900,2345000000.00
2026-04-07T18:30:50.035033,0,9,0,9,18,27,-67.1000,2345000000.00
2026-04-07T18:30:51.122257,0,10,0,10,20,30,-65.5100,2345000000.00
2026-04-07T18:30:52.211710,0,11,0,11,22,33,-64.7200,2345000000.10
2026-04-07T18:30:53.301994,0,12,0,12,24,36,-63.7900,2344999999.90
2026-04-07T18:30:54.394056,0,13,0,13,26,39,-63.5100,2345000000.00
2026-04-07T18:30:55.481282,0,14,0,14,28,42,-63.2100,2345000000.00
2026-04-07T18:30:56.562748,0,15,0,15,30,45,-63.4300,2345000000.10
2026-04-07T18:30:57.649114,0,16,0,16,32,48,-63.8300,2345000000.10
2026-04-07T18:30:58.731826,0,17,0,17,34,51,-64.9300,2345000000.00
2026-04-07T18:30:59.812216,0,18,0,18,36,54,-65.7400,2345000000.00
2026-04-07T18:31:00.899309,0,19,0,19,38,57,-67.2600,2345000000.00
2026-04-07T18:31:01.982072,0,20,0,20,40,60,-68.5100,2345000000.10
2026-04-07T18:31:03.064374,0,21,0,21,42,63,-71.7300,2344999999.90
2026-04-07T18:31:04.150426,0,22,0,22,44,2,-78.4500,2345000000.00
