timestamp,angle_deg,power_dbm,freq_hz
2026-04-07T13:30:57.780520,-90.0000,-64.6100,2345000000.00
2026-04-07T13:31:01.694759,-88.0000,-63.5500,2345000000.00
2026-04-07T13:31:05.604201,-86.0000,-62.6800,2345000000.10
2026-04-07T13:31:09.513951,-84.0000,-62.0500,2345000000.00
2026-04-07T13:31:13.427321,-82.0000,-61.5600,2345000000.00
2026-04-07T13:31:17.340989,-80.0000,-61.1600,2345000000.19
2026-04-07T13:31:21.253097,-78.0000,-60.8900,2345000000.00
2026-04-07T13:31:25.164351,-76.0000,-60.9200,2345000000.00
2026-04-07T13:31:29.075785,-74.0000,-61.4200,2345000000.00
2026-04-07T13:31:32.988294,-72.0000,-62.1100,2345000000.00
2026-04-07T13:31:36.901171,-70.0000,-62.7700,2345000000.00
2026-04-07T13:31:40.814157,-68.0000,-63.3300,2345000000.00
2026-04-07T13:31:44.724650,-66.0000,-63.9900,2345000000.19
2026-04-07T13:31:48.636777,-64.0000,-64.8600,2345000000.00
2026-04-07T13:31:52.549423,-62.0000,-65.9000,2345000000.10
2026-04-07T13:31:56.460328,-60.0000,-67.3700,2345000000.10
2026-04-07T13:32:00.373072,-58.0000,-69.3400,2345000000.00
2026-04-07T13:32:04.285358,-56.0000,-71.6900,2345000000.00
2026-04-07T13:32:08.196787,-54.0000,-73.3700,2345000000.10
2026-04-07T13:32:12.108368,-52.0000,-71.4400,2345000000.10
2026-04-07T13:32:16.023074,-50.0000,-68.0600,2345000000.10
2026-04-07T13:32:19.933775,-48.0000,-65.2900,2345000000.10
2026-04-07T13:32:23.847365,-46.0000,-63.3200,2345000000.00
2026-04-07T13:32:27.758050,-44.0000,-61.9600,2345000000.00
2026-04-07T13:32:31.668737,-42.0000,-60.9800,2345000000.10
2026-04-07T13:32:35.580615,-40.0000,-60.2500,2345000000.00
2026-04-07T13:32:39.493808,-38.0000,-59.7300,2345000000.10
2026-04-07T13:32:43.405356,-36.0000,-59.4100,2345000000.00
2026-04-07T13:32:47.318063,-34.0000,-59.2800,2345000000.00
2026-04-07T13:32:51.231054,-32.0000,-59.3700,2345000000.00
2026-04-07T13:32:55.144269,-30.0000,-59.6500,2345000000.10
2026-04-07T13:32:59.052862,-28.0000,-60.1600,2345000000.00
2026-04-07T13:33:02.967622,-26.0000,-60.9000,2344999999.90
2026-04-07T13:33:06.877534,-24.0000,-61.9400,2345000000.00
2026-04-07T13:33:10.789240,-22.0000,-63.3500,2345000000.19
2026-04-07T13:33:14.702527,-20.0000,-65.2300,2345000000.00
2026-04-07T13:33:18.616879,-18.0000,-67.6200,2345000000.10
2026-04-07T13:33:22.530422,-16.0000,-70.5100,2345000000.19
2026-04-07T13:33:26.438538,-14.0000,-73.5500,2345000000.00
2026-04-07T13:33:30.350403,-12.0000,-74.9900,2345000000.00
2026-04-07T13:33:34.262893,-10.0000,-73.5100,2345000000.10
2026-04-07T13:33:38.173757,-8.0000,-71.0600,2345000000.10
2026-04-07T13:33:42.086359,-6.0000,-68.7600,2344999999.90
2026-04-07T13:33:45.999302,-4.0000,-66.9100,2345000000.00
2026-04-07T13:33:49.911895,-2.0000,-65.6500,2345000000.00
2026-04-07T13:33:53.823404,0.0000,-65.0200,2345000000.00
2026-04-07T13:33:57.735344,2.0000,-64.9100,2345000000.19
2026-04-07T13:34:01.646634,4.0000,-65.2600,2345000000.10
2026-04-07T13:34:05.560025,6.0000,-65.8500,2345000000.00
2026-04-07T13:34:09.471716,8.0000,-66.3900,2345000000.00
2026-04-07T13:34:13.383680,10.0000,-66.7900,2345000000.00
2026-04-07T13:34:17.294557,12.0000,-67.2800,2345000000.00
2026-04-07T13:34:21.208659,14.0000,-68.0600,2345000000.00
2026-04-07T13:34:25.118922,16.0000,-69.4000,2345000000.10
2026-04-07T13:34:29.032904,18.0000,-71.8500,2345000000.00
2026-04-07T13:34:32.943594,20.0000,-74.9200,2345000000.00
2026-04-07T13:34:36.855852,22.0000,-79.0800,2345000000.00
2026-04-07T13:34:40.767269,24.0000,-83.5100,2344999999.90
2026-04-07T13:34:44.680504,26.0000,-84.0000,2345000000.00
2026-04-07T13:34:48.591121,28.0000,-82.8100,2345000000.10
2026-04-07T13:34:52.506509,30.0000,-79.5700,2345000000.00
