timestamp,n,m,ph1,ph2,ph3,ph4,power_dbm,freq_hz
2026-04-09T17:27:14.909526,0,0,0,0,0,0,-62.2100,2399999999.90
2026-04-09T17:27:17.001431,0,1,0,1,2,3,-63.2700,2399999999.90
2026-04-09T17:27:19.100863,0,2,0,2,4,6,-64.1600,2399999999.90
2026-04-09T17:27:21.190888,0,3,0,3,6,9,-65.9200,2399999999.90
2026-04-09T17:27:23.278071,0,4,0,4,8,12,-67.4300,2399999999.90
2026-04-09T17:27:25.364029,0,5,0,5,10,15,-70.1300,2399999999.90
2026-04-09T17:27:27.453947,0,6,0,6,12,18,-72.9700,2399999999.90
2026-04-09T17:27:29.541008,0,7,0,7,14,21,-77.1400,2400000000.00
2026-04-09T17:27:31.630493,0,8,0,8,16,24,-78.9700,2400000000.00
2026-04-09T17:27:33.729769,0,9,0,9,18,27,-75.9600,2399999999.90
2026-04-09T17:27:35.829762,0,10,0,10,20,30,-72.6700,2399999999.90
2026-04-09T17:27:37.913689,0,11,0,11,22,33,-70.2900,2400000000.00
2026-04-09T17:27:39.995909,0,12,0,12,24,36,-68.4200,2399999999.90
2026-04-09T17:27:42.081560,0,13,0,13,26,39,-67.0300,2399999999.90
2026-04-09T17:27:44.180518,0,14,0,14,28,42,-65.8000,2399999999.90
2026-04-09T17:27:46.281583,0,15,0,15,30,45,-65.2200,2399999999.80
2026-04-09T17:27:48.373735,0,16,0,16,32,48,-64.4900,2400000000.00
2026-04-09T17:27:50.467093,0,17,0,17,34,51,-64.4700,2400000000.00
2026-04-09T17:27:52.550911,0,18,0,18,36,54,-64.1500,2399999999.90
2026-04-09T17:27:54.633394,0,19,0,19,38,57,-64.0900,2399999999.90
2026-04-09T17:27:56.723431,0,20,0,20,40,60,-64.0200,2399999999.90
2026-04-09T17:27:58.806706,0,21,0,21,42,63,-64.3700,2400000000.00
2026-04-09T17:28:00.893222,0,22,0,22,44,2,-64.5200,2400000000.00
2026-04-09T17:28:02.975896,0,23,0,23,46,5,-65.0800,2399999999.80
2026-04-09T17:28:05.064161,0,24,0,24,48,8,-65.5700,2400000000.00
2026-04-09T17:28:07.145649,0,25,0,25,50,11,-66.4900,2399999999.90
2026-04-09T17:28:09.229819,0,26,0,26,52,14,-66.8900,2400000000.00
2026-04-09T17:28:11.316934,0,27,0,27,54,17,-67.5600,2400000000.00
2026-04-09T17:28:13.407098,0,28,0,28,56,20,-67.5400,2400000000.00
2026-04-09T17:28:15.496856,0,29,0,29,58,23,-67.7400,2400000000.00
2026-04-09T17:28:17.590061,0,30,0,30,60,26,-67.7500,2399999999.80
2026-04-09T17:28:19.677343,0,31,0,31,62,29,-67.0600,2399999999.90
2026-04-09T17:28:21.770689,0,32,0,32,0,32,-67.1500,2400000000.00
2026-04-09T17:28:23.862462,0,33,0,33,2,35,-66.9200,2399999999.90
2026-04-09T17:28:25.944069,0,34,0,34,4,38,-66.4700,2399999999.90
2026-04-09T17:28:28.027072,0,35,0,35,6,41,-66.3000,2400000000.00
2026-04-09T17:28:30.112092,0,36,0,36,8,44,-66.2400,2399999999.80
2026-04-09T17:28:32.203944,0,37,0,37,10,47,-66.4400,2399999999.90
2026-04-09T17:28:34.291630,0,38,0,38,12,50,-66.6600,2399999999.90
2026-04-09T17:28:36.382697,0,39,0,39,14,53,-67.0100,2400000000.00
2026-04-09T17:28:38.474262,0,40,0,40,16,56,-67.7900,2400000000.00
2026-04-09T17:28:40.560103,0,41,0,41,18,59,-68.8100,2399999999.90
2026-04-09T17:28:42.656038,0,42,0,42,20,62,-70.0600,2399999999.90
2026-04-09T17:28:44.740525,0,43,0,43,22,1,-72.9900,2399999999.90
2026-04-09T17:28:46.835872,0,44,0,44,24,4,-76.3700,2399999999.90
2026-04-09T17:28:48.929516,0,45,0,45,26,7,-83.1700,2400000000.10
2026-04-09T17:28:51.015269,0,46,0,46,28,10,-83.5500,2400000000.00
2026-04-09T17:28:53.104481,0,47,0,47,30,13,-76.6600,2399999999.90
2026-04-09T17:28:55.189620,0,48,0,48,32,16,-72.1100,2399999999.80
2026-04-09T17:28:57.274203,0,49,0,49,34,19,-69.4700,2399999999.90
2026-04-09T17:28:59.364495,0,50,0,50,36,22,-67.3300,2399999999.90
2026-04-09T17:29:01.452917,0,51,0,51,38,25,-65.6100,2399999999.80
2026-04-09T17:29:03.538873,0,52,0,52,40,28,-64.2200,2400000000.00
2026-04-09T17:29:05.629187,0,53,0,53,42,31,-63.1500,2399999999.90
2026-04-09T17:29:07.719828,0,54,0,54,44,34,-62.5700,2399999999.90
2026-04-09T17:29:09.811124,0,55,0,55,46,37,-61.9500,2400000000.00
2026-04-09T17:29:11.903720,0,56,0,56,48,40,-61.3700,2399999999.80
2026-04-09T17:29:13.995372,0,57,0,57,50,43,-61.1800,2399999999.90
2026-04-09T17:29:16.082670,0,58,0,58,52,46,-60.9100,2400000000.00
2026-04-09T17:29:18.171686,0,59,0,59,54,49,-60.9800,2399999999.90
2026-04-09T17:29:20.264128,0,60,0,60,56,52,-60.8500,2400000000.00
2026-04-09T17:29:22.349319,0,61,0,61,58,55,-61.1200,2399999999.90
2026-04-09T17:29:24.436312,0,62,0,62,60,58,-61.5000,2400000000.00
2026-04-09T17:29:26.516906,0,63,0,63,62,61,-61.8400,2399999999.90
2026-04-09T17:29:28.605031,16,0,16,16,16,16,-62.2700,2400000000.00
2026-04-09T17:29:30.687839,16,1,16,17,18,19,-63.4900,2399999999.90
2026-04-09T17:29:32.774721,16,2,16,18,20,22,-64.4000,2399999999.90
2026-04-09T17:29:34.867366,16,3,16,19,22,25,-66.0700,2400000000.00
2026-04-09T17:29:36.955049,16,4,16,20,24,28,-67.5200,2399999999.90
2026-04-09T17:29:39.042771,16,5,16,21,26,31,-70.1200,2400000000.00
2026-04-09T17:29:41.125203,16,6,16,22,28,34,-72.2800,2399999999.90
2026-04-09T17:29:43.216550,16,7,16,23,30,37,-75.7400,2400000000.10
2026-04-09T17:29:45.312246,16,8,16,24,32,40,-77.8500,2400000000.00
2026-04-09T17:29:47.397710,16,9,16,25,34,43,-75.4500,2399999999.90
2026-04-09T17:29:49.488042,16,10,16,26,36,46,-73.0000,2399999999.90
2026-04-09T17:29:51.576160,16,11,16,27,38,49,-70.4300,2400000000.00
2026-04-09T17:29:53.666229,16,12,16,28,40,52,-68.6100,2399999999.90
2026-04-09T17:29:55.758523,16,13,16,29,42,55,-67.4100,2399999999.90
2026-04-09T17:29:57.846545,16,14,16,30,44,58,-66.1300,2399999999.90
2026-04-09T17:29:59.932033,16,15,16,31,46,61,-65.1400,2399999999.69
2026-04-09T17:30:02.019616,16,16,16,32,48,0,-63.9200,2400000000.00
2026-04-09T17:30:04.109299,16,17,16,33,50,3,-63.7600,2400000000.00
2026-04-09T17:30:06.194675,16,18,16,34,52,6,-63.4400,2399999999.90
2026-04-09T17:30:08.280385,16,19,16,35,54,9,-63.6200,2399999999.90
2026-04-09T17:30:10.368164,16,20,16,36,56,12,-63.4000,2400000000.00
2026-04-09T17:30:12.451113,16,21,16,37,58,15,-63.9800,2399999999.90
2026-04-09T17:30:14.541497,16,22,16,38,60,18,-64.2400,2399999999.90
2026-04-09T17:30:16.633975,16,23,16,39,62,21,-64.9800,2399999999.90
2026-04-09T17:30:18.728581,16,24,16,40,0,24,-65.3800,2399999999.90
2026-04-09T17:30:20.819285,16,25,16,41,2,27,-66.3500,2399999999.90
2026-04-09T17:30:22.909453,16,26,16,42,4,30,-66.8600,2399999999.90
2026-04-09T17:30:24.999957,16,27,16,43,6,33,-67.6500,2399999999.90
2026-04-09T17:30:27.091885,16,28,16,44,8,36,-67.6000,2399999999.90
2026-04-09T17:30:29.182039,16,29,16,45,10,39,-68.2000,2400000000.00
2026-04-09T17:30:31.270909,16,30,16,46,12,42,-68.0100,2399999999.90
2026-04-09T17:30:33.361806,16,31,16,47,14,45,-67.7900,2399999999.80
2026-04-09T17:30:35.453879,16,32,16,48,16,48,-67.2800,2400000000.00
2026-04-09T17:30:37.544953,16,33,16,49,18,51,-67.3700,2399999999.80
2026-04-09T17:30:39.633456,16,34,16,50,20,54,-66.8800,2399999999.90
2026-04-09T17:30:41.726471,16,35,16,51,22,57,-66.5800,2399999999.90
