Measurement_Angle,Power_dBm
-60,-66.8
-55,-67.22
-50,-68.17
-45,-66.43
-40,-66.08
-35,-67.45
-30,-68.72
-25,-70.88
-20,-77.87
-15,-73.6
-10,-66.38
-5,-62.87
0,-60.73
5,-59.36
10,-58.73
15,-59.03
20,-60.59
25,-63.64
30,-67.76
35,-68.91
40,-65.94
45,-64.42
50,-66.38
55,-69.89
60,-68.67
