Measurement_Angle,Power_dBm
-60,-68.3
-55,-67.69
-50,-68.51
-45,-67.13
-40,-66.94
-35,-68.93
-30,-71.38
-25,-76.37
-20,-82.36
-15,-68.75
-10,-63.72
-5,-61.19
0,-59.82
5,-59.15
10,-59.08
15,-59.86
20,-61.96
25,-65.54
30,-69.45
35,-69.04
40,-65.52
45,-64.2
50,-66.69
55,-71.66
60,-70.43
