Measurement_Angle,Power_dBm
-60,-65.66
-55,-66.79
-50,-67.59
-45,-65.62
-40,-65.37
-35,-66.45
-30,-67.08
-25,-67.98
-20,-71.1
-15,-75.67
-10,-70.09
-5,-65.35
0,-62.25
5,-60.05
10,-58.79
15,-58.58
20,-59.64
25,-62.14
30,-65.65
35,-67.2
40,-65.65
45,-64.68
50,-66.43
55,-68.71
60,-67.42
