Measurement_Angle,Power_dBm
-60,-70.13
-55,-68.02
-50,-66.37
-45,-64.79
-40,-64.69
-35,-66.81
-30,-69.16
-25,-72.97
-20,-77.43
-15,-66.44
-10,-61.95
-5,-60.59
0,-61.05
5,-62.59
10,-63.85
15,-64.31
20,-66.53
25,-71.96
30,-69.82
35,-67.8
40,-69.26
45,-67.71
50,-64.88
55,-63.67
60,-65.05
