Measurement_Angle,Power_dBm
-60,-77.98
-55,-85.11
-50,-77.98
-45,-76.07
-40,-70.61
-35,-66.53
-30,-63.29
-25,-61.08
-20,-60.4
-15,-60.6
-10,-61.66
-5,-63.74
0,-67.64
5,-71.28
10,-69.3
15,-66.41
20,-64.48
25,-64.74
30,-66.24
35,-65.71
40,-65.77
45,-72.45
50,-77.74
55,-70.52
60,-71.47
