Measurement_Angle,Power_dBm
-60,-65.35
-55,-66.96
-50,-67.49
-45,-65.24
-40,-64.95
-35,-65.82
-30,-66.01
-25,-66.26
-20,-68.12
-15,-72.49
-10,-74.64
-5,-69.02
0,-64.54
5,-61.34
10,-59.43
15,-58.7
20,-59.31
25,-61.29
30,-63.96
35,-65.01
40,-64.63
45,-64.93
50,-67.17
55,-68.86
60,-67.45
