Measurement_Angle,Power_dBm
-60,-100.85
-55,-74.11
-50,-72.15
-45,-74.15
-40,-80.75
-35,-75.59
-30,-68.47
-25,-64.38
-20,-62.03
-15,-60.47
-10,-59.77
-5,-60.06
0,-61.41
5,-63.75
10,-66.52
15,-69.7
20,-69.36
25,-67.09
30,-66.03
35,-64.89
40,-63.75
45,-65.93
50,-74.2
55,-82.03
60,-78.79
