Measurement_Angle,Power_dBm
-60,-75.7
-55,-79.11
-50,-87.24
-45,-75.93
-40,-69.62
-35,-67.27
-30,-65.7
-25,-65.08
-20,-66.0
-15,-67.55
-10,-69.1
-5,-68.59
0,-66.7
5,-65.55
10,-66.71
15,-70.56
20,-76.03
25,-72.12
30,-66.24
35,-62.99
40,-61.94
45,-61.63
50,-62.01
55,-62.65
60,-63.59
