Measurement_Angle,Power_dBm
-60,-74.04
-55,-69.78
-50,-69.71
-45,-69.62
-40,-71.01
-35,-77.36
-30,-84.44
-25,-72.55
-20,-66.78
-15,-62.77
-10,-60.45
-5,-59.47
0,-59.44
5,-60.12
10,-61.26
15,-63.32
20,-66.66
25,-69.16
30,-68.39
35,-66.5
40,-64.13
45,-64.33
50,-68.89
55,-80.72
60,-77.02
