Measurement_Angle,Power_dBm
-60,-67.28
-55,-68.33
-50,-68.5
-45,-69.31
-40,-73.52
-35,-72.44
-30,-67.66
-25,-64.49
-20,-62.88
-15,-62.08
-10,-62.23
-5,-63.64
0,-67.24
5,-68.2
10,-65.9
15,-65.31
20,-66.36
25,-68.03
30,-70.75
35,-70.44
40,-68.38
45,-65.54
50,-63.35
55,-62.11
60,-62.33
