Measurement_Angle,Power_dBm
-60,-74.0
-55,-70.53
-50,-68.98
-45,-65.83
-40,-63.72
-35,-63.71
-30,-63.55
-25,-64.16
-20,-68.58
-15,-83.14
-10,-67.96
-5,-63.75
0,-62.17
5,-61.78
10,-61.84
15,-61.92
20,-63.4
25,-68.63
30,-72.1
35,-68.17
40,-70.24
45,-69.31
50,-65.28
55,-64.49
60,-66.8
