Measurement_Angle,Power_dBm
-60,-68.74
-55,-70.25
-50,-71.22
-45,-72.66
-40,-73.17
-35,-69.1
-30,-65.62
-25,-63.44
-20,-62.73
-15,-62.88
-10,-63.89
-5,-65.82
0,-68.69
5,-67.2
10,-65.55
15,-65.9
20,-67.62
25,-70.01
30,-72.09
35,-68.59
40,-66.48
45,-64.37
50,-62.76
55,-62.1
60,-62.51
