Measurement_Angle,Power_dBm
-60,-68.93
-55,-72.39
-50,-70.11
-45,-66.99
-40,-66.49
-35,-67.19
-30,-67.25
-25,-67.08
-20,-66.82
-15,-66.45
-10,-67.15
-5,-69.27
0,-72.99
5,-75.49
10,-69.72
15,-65.39
20,-63.47
25,-62.74
30,-61.78
35,-60.7
40,-60.54
45,-61.72
50,-63.96
55,-65.17
60,-65.87
