Measurement_Angle,Power_dBm
-60,-75.26
-55,-75.39
-50,-75.14
-45,-68.57
-40,-64.59
-35,-63.11
-30,-61.73
-25,-61.05
-20,-62.58
-15,-66.5
-10,-74.08
-5,-71.72
0,-66.5
5,-63.63
10,-62.23
15,-61.5
20,-61.94
25,-65.07
30,-69.82
35,-68.16
40,-70.47
45,-76.98
50,-67.43
55,-66.01
60,-68.47
