Measurement_Angle,Power_dBm
-60,-72.03
-55,-76.65
-50,-72.55
-45,-68.6
-40,-67.2
-35,-67.27
-30,-67.06
-25,-67.11
-20,-67.42
-15,-67.04
-10,-67.19
-5,-67.81
0,-68.66
5,-71.04
10,-74.35
15,-70.43
20,-66.81
25,-64.64
30,-62.4
35,-60.72
40,-60.35
45,-61.22
50,-63.03
55,-64.26
60,-65.26
