Measurement_Angle,Power_dBm
-60,-65.21
-55,-67.27
-50,-67.33
-45,-64.99
-40,-64.86
-35,-65.74
-30,-65.78
-25,-65.63
-20,-66.43
-15,-68.72
-10,-72.94
-5,-74.68
0,-68.27
5,-63.34
10,-60.51
15,-59.21
20,-59.35
25,-60.8
30,-62.59
35,-63.09
40,-63.09
45,-64.14
50,-66.6
55,-67.71
60,-66.71
