Measurement_Angle,Power_dBm
-60,-71.99
-55,-76.19
-50,-72.36
-45,-68.62
-40,-67.17
-35,-67.23
-30,-67.18
-25,-67.6
-20,-68.34
-15,-68.04
-10,-67.74
-5,-68.14
0,-68.75
5,-70.92
10,-75.01
15,-71.48
20,-67.52
25,-65.05
30,-62.55
35,-60.83
40,-60.44
45,-61.13
50,-62.67
55,-63.75
60,-64.77
