Measurement_Angle,Power_dBm
-60,-81.82
-55,-78.15
-50,-74.27
-45,-76.04
-40,-75.12
-35,-69.53
-30,-65.19
-25,-62.27
-20,-60.87
-15,-60.24
-10,-60.41
-5,-61.58
0,-64.15
5,-68.0
10,-70.82
15,-69.81
20,-66.78
25,-65.69
30,-65.97
35,-65.25
40,-64.74
45,-68.81
50,-82.19
55,-73.91
60,-73.96
