Measurement_Angle,Power_dBm
-60,-67.03
-55,-69.93
-50,-68.63
-45,-65.9
-40,-65.73
-35,-66.6
-30,-66.62
-25,-66.24
-20,-66.0
-15,-66.19
-10,-67.75
-5,-72.0
0,-84.46
5,-71.64
10,-65.43
15,-62.44
20,-61.4
25,-61.56
30,-61.54
35,-60.95
40,-60.94
45,-62.32
50,-64.86
55,-66.0
60,-66.15
