Measurement_Angle,Power_dBm
-60,-68.51
-55,-67.38
-50,-65.87
-45,-64.84
-40,-65.8
-35,-69.57
-30,-75.44
-25,-78.97
-20,-69.9
-15,-63.85
-10,-60.86
-5,-60.23
0,-61.51
5,-64.05
10,-65.69
15,-65.71
20,-67.6
25,-70.51
30,-68.71
35,-67.96
40,-69.27
45,-67.63
50,-64.84
55,-63.27
60,-64.14
