# Version 1.00
#
freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S12,im:Trc2_S12,re:Trc3_S21,im:Trc3_S21,re:Trc4_S22,im:Trc4_S22,
2.563700000000000E+009,-3.694201409816742E-001,5.834812654210182E-002,3.069559455392496E-004,-1.294255955144763E-003,5.574744948916825E+000,2.344854354858398E+000,-5.761635303497315E-002,1.498819311830066E-001,
2.565000000000000E+009,-3.681153357028961E-001,6.192541110791158E-002,-1.859386548805001E-005,5.237675504758954E-004,5.815979967337361E+000,1.762346863746643E+000,-4.764228314161301E-002,1.471612000241822E-001,
2.566300000000000E+009,-3.652898669242859E-001,6.702676988569246E-002,2.853784900555657E-004,-2.297997416462749E-004,5.964697895556786E+000,1.145131826400757E+000,-2.760349959135056E-002,1.463666289704514E-001,
2.567600000000000E+009,-3.578226268291473E-001,7.505918826444474E-002,2.716584188452459E-004,8.509642066201195E-005,6.003188247950252E+000,4.900270402431488E-001,-1.364939659833908E-002,1.525244408039822E-001,
2.568900000000000E+009,-3.656259477138519E-001,8.836955359472487E-002,-5.467903958688046E-004,-3.863230813294649E-004,6.032230615964354E+000,-1.159320101141930E-001,-3.759615123271942E-003,1.495961338675252E-001,
2.570200000000000E+009,-3.652217388153076E-001,9.593024910617962E-002,1.436636119126581E-003,8.849459118209779E-004,5.986758659737559E+000,-7.800916433334351E-001,1.883337646722794E-002,1.376874479522676E-001,
2.571500000000000E+009,-3.591155707836151E-001,1.104548617567407E-001,5.644573381325618E-004,8.577040280215442E-004,5.858469850438167E+000,-1.413363456726074E+000,3.722176700830460E-002,1.336520259230458E-001,
2.572800000000000E+009,-3.516952693462372E-001,1.101096666735605E-001,2.452451666212803E-005,4.937765188515186E-004,5.666156750641173E+000,-1.957939863204956E+000,4.978220537304878E-002,1.202306788573141E-001,
2.574100000000000E+009,-3.605109453201294E-001,1.219700327115983E-001,-1.712953460994027E-003,-2.497490961104631E-003,5.448363876481192E+000,-2.545061826705933E+000,6.226306036114693E-002,1.160161273915339E-001,
2.575400000000000E+009,-3.539787232875824E-001,1.345670658047326E-001,6.127499942392080E-004,3.526057698763907E-004,5.082770469883439E+000,-3.126649618148804E+000,6.847332417964935E-002,9.748594748027929E-002,
2.576700000000000E+009,-3.533865213394165E-001,1.393771963635641E-001,9.972387163429890E-004,4.478233458939940E-004,4.769094066959809E+000,-3.603298187255859E+000,7.872194051742554E-002,7.921143263987843E-002,
