# Version 1.00
#
freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S12,im:Trc2_S12,re:Trc3_S21,im:Trc3_S21,re:Trc4_S22,im:Trc4_S22,
2.396500000000000E+009,1.604406405442158E-001,-1.057890394919253E-002,1.411290206563871E-003,1.031413285114786E-003,-1.565227041113581E+000,5.176603406561933E-001,6.758751999816240E-002,1.238619761819437E-001,
2.396513979634018E+009,1.694789570005806E-001,-1.023871057335623E-002,5.867577025012614E-004,-1.827505331780519E-005,-1.569205445707628E+000,5.069764381988459E-001,5.397252457500197E-002,1.202160619659927E-001,
2.396527959349583E+009,1.547747801434557E-001,-1.767163045528873E-002,-2.967917792791894E-003,1.040103852819733E-004,-1.557686856757660E+000,5.205893699061857E-001,6.746678635309077E-002,1.403062969637865E-001,
2.396541939146698E+009,1.623431617904234E-001,-1.028680295459453E-002,-7.026295272959552E-004,1.854905488032146E-003,-1.561787986878976E+000,4.976922308671353E-001,5.611160077034331E-002,1.453111460782094E-001,
2.396555919025361E+009,1.472853591930709E-001,-1.462034903104285E-002,-5.350565190642767E-003,1.488345651257917E-003,-1.565356161257665E+000,5.212939796665812E-001,6.587576081379852E-002,1.314483918134844E-001,
2.396569898985574E+009,1.639749186645615E-001,-7.505040289310178E-003,2.504046590703480E-003,-1.990376416659102E-003,-1.560757382659111E+000,5.088730529963852E-001,7.207007984297315E-002,1.289112868132799E-001,
2.396583879027337E+009,1.685812178388309E-001,-6.654137893973552E-003,-1.606113029773487E-004,-5.808402290613385E-003,-1.549144106445998E+000,5.077049487825798E-001,5.885376220911783E-002,1.568254840977083E-001,
2.396597859150651E+009,1.596829292261820E-001,-3.992645151687235E-003,2.563186845978252E-003,1.790530942684266E-003,-1.588807376832260E+000,4.891397790587152E-001,5.792329179902536E-002,1.420225251686413E-001,
2.396611839355515E+009,1.702615504932080E-001,-5.542986661888676E-003,5.742835918849522E-004,1.226891931658443E-003,-1.562172407075708E+000,5.023316370236561E-001,5.988663246168372E-002,1.426016185630380E-001,
2.396625819641931E+009,1.836824705032563E-001,-8.255757331343996E-003,4.732197314336976E-003,3.021836316166511E-003,-1.598885789007523E+000,5.158019534075604E-001,5.964195824051241E-002,1.302702364538372E-001,
2.396639800009899E+009,1.598520499998586E-001,-7.620184332820766E-003,6.163826049407074E-004,4.816703966682146E-004,-1.570597143014084E+000,5.297620632778404E-001,4.652377998353913E-002,1.512560252965893E-001,
2.396653780459420E+009,1.544931042444915E-001,-1.875683851472292E-002,3.250193018317324E-003,-3.174827402751103E-005,-1.542589091114089E+000,5.373224857908965E-001,5.830919261587159E-002,1.344253592870318E-001,
2.396667760990493E+009,1.779017888930115E-001,-2.048320494106011E-002,-1.316519941738675E-003,4.600391969327980E-003,-1.594403846797675E+000,5.093214008663419E-001,3.953570712763053E-002,1.386103391478024E-001,
2.396681741603120E+009,1.584077452436581E-001,-4.309274489368305E-003,-4.587038191080433E-003,2.408552481476724E-003,-1.551923163896388E+000,5.611783000476286E-001,6.755294602637166E-002,1.265724219659060E-001,
2.396695722297301E+009,1.696112424811404E-001,-4.730047767984753E-003,-1.064386490367663E-003,-2.824100522491705E-004,-1.562432452101792E+000,5.348001725016814E-001,6.085878285060058E-002,1.321840342133334E-001,
2.396709703073036E+009,1.574180492330550E-001,8.580917374997749E-004,2.803304402171357E-004,-1.126540749842934E-003,-1.574356216245868E+000,5.365637181192309E-001,5.913817688378155E-002,1.288585684444729E-001,
2.396723683930326E+009,1.545465977964223E-001,-1.272859381257076E-003,2.453717332147530E-003,-2.241640420291060E-004,-1.542591155979656E+000,5.367950663697114E-001,5.044011029818506E-002,1.168022160070500E-001,
