# Version 1.00
#
freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S12,im:Trc2_S12,re:Trc3_S21,im:Trc3_S21,re:Trc4_S22,im:Trc4_S22,
2.396500000000000E+009,1.646739850984786E-001,-7.231557203230994E-003,-7.050640363480023E-004,-3.197351910522858E-003,-1.526674579761765E+000,1.790209981813147E-001,5.680619351531519E-002,1.407222365498099E-001,
2.396513979634018E+009,1.637950325221999E-001,-1.704369653643174E-002,1.845337870855904E-003,-1.879688840805554E-003,-1.549055750088689E+000,1.969485385489974E-001,6.789118832102063E-002,1.573993656033356E-001,
2.396527959349583E+009,1.680438332327302E-001,-2.112948346496815E-002,1.715212709821179E-003,3.220682507470154E-003,-1.545126863466720E+000,1.697470187050245E-001,7.942633231182443E-002,1.371449085882674E-001,
2.396541939146698E+009,1.670655248958858E-001,-2.638279157264541E-002,2.741616652924057E-003,-1.991628062071996E-003,-1.535264773450567E+000,1.891935967359392E-001,8.780516760434359E-002,1.600008718950711E-001,
2.396555919025361E+009,1.541508720229304E-001,-2.563747037500377E-002,-4.529848651928772E-003,6.896817172385445E-004,-1.517176789136184E+000,1.802115941131510E-001,8.393052279611815E-002,1.592255627525491E-001,
2.396569898985574E+009,1.751382864015636E-001,-1.823212943145981E-002,-7.472497106471369E-004,3.896305185198540E-003,-1.537863355873437E+000,1.714603043732027E-001,5.288230783614727E-002,1.530616633265838E-001,
2.396583879027337E+009,1.622800968969157E-001,-2.004269583160491E-002,-3.620856195959558E-003,2.486654266075461E-003,-1.553257343242969E+000,1.951385617732867E-001,4.429248332654573E-002,1.302008561604650E-001,
2.396597859150651E+009,1.518032869692937E-001,-1.423421263613432E-002,1.180771876751498E-004,-1.860226724352277E-003,-1.528845748775479E+000,1.911329412202787E-001,5.955060415399240E-002,1.458448252476824E-001,
2.396611839355515E+009,1.553813984341677E-001,-2.828585727322093E-003,9.958640620501241E-004,-5.232597335606893E-004,-1.508243368890049E+000,1.892027078320452E-001,4.335810527010774E-002,1.359704116621806E-001,
2.396625819641931E+009,1.557170670338604E-001,-2.042349061046491E-002,2.393705757730141E-003,1.301976014389161E-003,-1.539208603236439E+000,2.134097725463137E-001,5.951195074580051E-002,1.337686865077561E-001,
