# Version 1.00
#
freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S12,im:Trc2_S12,re:Trc3_S21,im:Trc3_S21,re:Trc4_S22,im:Trc4_S22,
2.396709703073036E+009,1.648013921448428E-001,1.058572546032095E-002,8.738870346009129E-004,2.366279688283009E-003,-1.460953759098037E+000,4.499212912232275E-001,3.997645996022828E-002,1.479959915638922E-001,
2.396723683930326E+009,1.731373845610751E-001,-2.720902055241537E-002,3.077186878245160E-003,-2.274318859242490E-003,-1.486128710691184E+000,5.151421212340077E-001,5.068528475899128E-002,1.533274169634075E-001,
2.396737664869171E+009,1.655855001287417E-001,-1.584131928291627E-002,3.199825607868118E-003,-2.669921413393746E-004,-1.440565363847802E+000,4.884280237200692E-001,6.036211607758745E-002,1.288857010379695E-001,
2.396751645889572E+009,1.568864306463136E-001,-5.151393690389555E-003,-4.569393952143445E-004,-1.248313770050525E-003,-1.479259206875767E+000,5.176072898838917E-001,6.835190144376438E-002,1.440434893460564E-001,
2.396765626991529E+009,1.391118102101139E-001,-1.247338338276541E-002,-1.558218264853794E-003,2.159185178190493E-003,-1.453432292444568E+000,5.363643681078110E-001,4.018470352668373E-002,1.275319019970898E-001,
2.396779608175043E+009,1.680817212409475E-001,-3.006695389141973E-002,-6.585546944105800E-004,-4.204882234023674E-003,-1.449538298167318E+000,4.875274197695812E-001,5.906327240391632E-002,1.359660554668387E-001,
2.396793589440114E+009,1.738645232584732E-001,-3.868179190765365E-002,4.789342593148444E-003,2.337138384898442E-003,-1.464508243992653E+000,5.383841246254149E-001,6.770363363022586E-002,1.340064955395766E-001,
2.396807570786742E+009,1.572073682176703E-001,-1.874403414638507E-002,-2.484973126078522E-004,-3.198786522907437E-003,-1.453437698067484E+000,5.066050321794600E-001,5.509549004017712E-002,1.487591920425069E-001,
2.396821552214929E+009,1.663941655604421E-001,-3.272090075024674E-002,-2.376279651034580E-003,-1.951837180914888E-003,-1.497339891839792E+000,5.288034652924403E-001,5.821975188933279E-002,1.302446526865654E-001,
2.396835533724675E+009,1.564185163372434E-001,-1.788924578568650E-002,-6.341999463249869E-003,-2.058747380785666E-003,-1.414198183460889E+000,5.175981279869170E-001,7.291698939537675E-002,1.345841556484732E-001,
2.396849515315980E+009,1.439392807342091E-001,-9.201437447830224E-003,2.710701578803423E-003,3.884668565536860E-003,-1.431801802142306E+000,5.531340901459062E-001,5.874251216903811E-002,1.271455306894566E-001,
2.396863496988844E+009,1.558348514646141E-001,-2.130932605914304E-002,1.145600515539832E-003,-1.908163495955864E-003,-1.451631742975222E+000,5.243333446429618E-001,5.610679883492288E-002,1.497051023390537E-001,
2.396877478743268E+009,1.522974443210661E-001,-1.533320103274847E-002,-3.521997843622749E-003,-2.115715479961108E-003,-1.451904644961464E+000,5.402890558010627E-001,6.544637751746871E-002,1.403457303270043E-001,
2.396891460579253E+009,1.718037297139268E-001,-2.125999778914161E-002,-2.974157507627730E-003,9.992440970686483E-004,-1.465125543820541E+000,5.175571647944581E-001,5.782508007992769E-002,1.585536283893894E-001,
2.396905442496799E+009,1.593400029009043E-001,-1.717409638542597E-002,-1.467340328162048E-003,-2.913766367129530E-003,-1.469780268886508E+000,5.507549892627259E-001,6.116848148771189E-002,1.635775381138186E-001,
2.396919424495906E+009,1.673767496258417E-001,-2.834808915863814E-002,1.162144235042547E-003,1.053382680154259E-003,-1.471839414050272E+000,5.460360062636056E-001,5.170483980995462E-002,1.209922418363278E-001,
2.396933406576575E+009,1.537570382832277E-001,-2.765263765226463E-002,-4.646771945352398E-004,3.878071889886627E-003,-1.448502891520876E+000,5.572809482517840E-001,5.285479932709510E-002,1.309190943120271E-001,
2.396947388738807E+009,1.344327287522489E-001,-3.492520656806554E-002,8.274917986866238E-004,-1.582735875660194E-003,-1.442648101187555E+000,5.597967332452642E-001,5.578242508062545E-002,1.383010799218584E-001,
2.396961370982601E+009,1.646597658924638E-001,-2.163827260935296E-002,2.682242076042419E-003,-2.508950110874596E-004,-1.402678397805894E+000,5.629936814636913E-001,7.573438287326682E-002,1.442812275784648E-001,
2.396975353307959E+009,1.459805423773832E-001,-3.236670166703035E-002,-2.918987733883669E-003,6.624402850697166E-004,-1.423515390537882E+000,5.744911229974070E-001,5.904918241650875E-002,1.384131500760288E-001,
2.396989335714881E+009,1.460709573389460E-001,-5.291140457982055E-003,-1.772951086181221E-003,3.417643713898429E-004,-1.443023534059078E+000,5.821718375319569E-001,5.864909151192273E-002,1.458744313433861E-001,
2.397003318203367E+009,1.502053057632567E-001,-1.790658961214154E-002,1.566913496295164E-003,-7.557949218243788E-004,-1.439749022057306E+000,5.612345990421441E-001,5.656348934656308E-002,1.465394429891004E-001,
2.397017300773418E+009,1.505459946331706E-001,-2.616178797436194E-002,-3.679623672319909E-004,-1.181556784714672E-003,-1.425410302306142E+000,5.666027305370560E-001,7.252429330141824E-002,1.245559462188255E-001,
2.397031283425035E+009,1.641482241023864E-001,-2.436182260555694E-002,-2.182249120333264E-003,-3.867386642692487E-003,-1.448121191243717E+000,5.497934207919044E-001,8.587051653245234E-002,1.322794990932720E-001,
2.397045266158217E+009,1.783992374490552E-001,-2.475773233914396E-002,-2.201828287074658E-003,-1.514704868045310E-003,-1.418829186677528E+000,5.702329954229489E-001,6.068147622530722E-002,1.318379223140071E-001,
2.397059248972965E+009,1.616319042669862E-001,-1.692685939687634E-002,5.041493910859527E-003,1.993092521075119E-003,-1.406302061007092E+000,5.812220440609017E-001,7.505679295382189E-002,1.431418238595878E-001,
2.397073231869280E+009,1.551050661666978E-001,-2.054013050280265E-002,2.596666000822174E-003,-4.253377418549750E-003,-1.407927398650848E+000,5.963994870219160E-001,5.617956997485409E-002,1.334078093684446E-001,
2.397087214847162E+009,1.465683343998194E-001,-2.228944942236976E-002,-6.255984835792904E-004,1.113399357270261E-003,-1.415205408998219E+000,6.233088306953043E-001,3.445537591747757E-002,1.395299040179563E-001,
2.397101197906612E+009,1.661124806535708E-001,-1.996192018886252E-002,-2.601479303675474E-004,1.107573390826729E-003,-1.425907224257324E+000,5.812068659746972E-001,5.377197757699798E-002,1.314055115256889E-001,
2.397115181047630E+009,1.702002964047422E-001,-1.741923683220319E-002,1.755873812840493E-003,3.702240036569281E-004,-1.432516174429497E+000,5.809028162075911E-001,5.488306005634446E-002,1.422276066482835E-001,
2.397129164270217E+009,1.533538281584604E-001,-2.729425247812200E-002,1.992163512371287E-003,3.122548816668510E-003,-1.441318920395227E+000,6.050606002819914E-001,7.408210071055819E-002,1.284267434096202E-001,
2.397143147574372E+009,1.612736398193550E-001,-5.701048806634079E-003,-8.780601175615733E-004,-1.049893384547798E-004,-1.416536167899364E+000,6.148471953107046E-001,6.969864776619925E-002,1.474610733119540E-001,
2.397157130960097E+009,1.725070896064186E-001,-2.719265290554815E-002,-2.541158426791227E-003,8.208493698011809E-004,-1.413370896929858E+000,6.062177708610187E-001,8.145911840198367E-002,1.263194966959442E-001,
2.397171114427393E+009,1.495657629279011E-001,-2.248289321573795E-002,2.109351026190956E-003,-4.138574714473747E-004,-1.421018969604079E+000,6.034909842979677E-001,6.572778807110204E-002,1.394100702763906E-001,
2.397185097976258E+009,1.552331980104193E-001,-4.106559701190917E-002,5.627615788167334E-003,2.016435175806611E-003,-1.403664275443731E+000,6.273766776913308E-001,5.814262865392286E-002,1.567211026240935E-001,
2.397199081606695E+009,1.499064346950433E-001,-2.543086570912451E-002,3.045910020155220E-003,-2.667826253101311E-003,-1.411707900088514E+000,6.306390641527706E-001,7.124121048779697E-002,1.527015872610311E-001,
2.397213065318704E+009,1.504654894733774E-001,-1.657792717388383E-002,-9.524478211037294E-004,8.755810522417015E-004,-1.416218193771323E+000,6.046102309379628E-001,6.138407607098469E-002,1.224825613275783E-001,
2.397227049112284E+009,1.755882048272845E-001,-5.072863408161266E-003,-2.942363071547128E-003,2.967511581164633E-003,-1.403491765422821E+000,5.975015541025402E-001,6.163365603960880E-002,1.505282157913652E-001,
2.397241032987436E+009,1.518384088337533E-001,-2.614508031690247E-002,1.794896227546600E-004,4.848877618751713E-003,-1.429522586346310E+000,6.422383188215206E-001,6.110530513893436E-002,1.396016242677755E-001,
2.397255016944162E+009,1.526030948305475E-001,-3.834353111734731E-002,-9.753433724409121E-004,-6.325909589914190E-006,-1.431811655189539E+000,6.223922601594352E-001,6.508161230327665E-002,1.394957075039281E-001,
2.397269000982461E+009,1.639092576313483E-001,-1.396766571404386E-002,1.914335300161024E-003,-1.024567481164679E-003,-1.396029717544007E+000,6.477405183644447E-001,6.476535234703768E-002,1.433732204191719E-001,
2.397282985102334E+009,1.575690437858183E-001,-3.476257229505072E-002,-1.998989643143843E-003,9.706973940675781E-004,-1.392962066725324E+000,6.435195013465476E-001,6.556413686581086E-002,1.401830066400440E-001,
2.397296969303781E+009,1.688753579773450E-001,-5.401127266029988E-003,2.158645570982751E-003,-1.191216005865974E-003,-1.383870313219156E+000,6.183191765437749E-001,9.335786233819104E-002,1.441852175116561E-001,
2.397310953586803E+009,1.722066935141099E-001,-1.888234149277103E-002,6.211111261367222E-003,1.557135538781951E-003,-1.391433818585422E+000,6.320435416699355E-001,7.043736891861813E-002,1.098930816338452E-001,
2.397324937951400E+009,1.424146884933058E-001,-2.507285839763947E-002,6.055097406311562E-003,5.867694737566473E-003,-1.391031453228346E+000,6.635280950425851E-001,8.015443556888285E-002,1.360752150575307E-001,
2.397338922397573E+009,1.555300884809130E-001,-2.202675076409270E-002,-3.054004308987121E-003,2.560429737553087E-003,-1.399575866628177E+000,6.425572899095587E-001,7.753655436530373E-002,1.370733196551026E-001,
2.397352906925322E+009,1.540940087115411E-001,-3.154558245215137E-002,2.289083898215858E-003,1.293540486047471E-003,-1.386155748576651E+000,6.571094890418425E-001,7.221191661447611E-002,1.133548569696040E-001,
2.397366891534648E+009,1.493013674127056E-001,-1.918563117405231E-002,1.673520266498835E-003,2.139037762102678E-003,-1.402491771940043E+000,6.783011493302948E-001,6.461168656483383E-002,1.334948611906347E-001,
2.397380876225551E+009,1.565439483610277E-001,-2.609949522902788E-002,3.760095977409450E-003,2.921539285047323E-003,-1.399210178040273E+000,6.665816406363481E-001,6.833915913020446E-002,1.229793899495666E-001,
2.397394860998032E+009,1.619362527019411E-001,-3.745958274666197E-002,1.334563564567296E-003,-7.280936924819090E-004,-1.386060831373392E+000,6.984998419044668E-001,8.299609280953660E-002,1.295717365025961E-001,
2.397408845852091E+009,1.584495241421036E-001,-3.766492887007358E-002,7.570833070477960E-004,2.637259163705271E-003,-1.392672044829096E+000,6.579031142769848E-001,5.946018916535219E-002,1.458654596851866E-001,
2.397422830787728E+009,1.458239651503910E-001,-2.694467884533133E-002,4.005801777222547E-003,1.893166303741736E-004,-1.408480029762331E+000,6.843761113241522E-001,7.393604387220301E-002,1.203122717929381E-001,
2.397436815804945E+009,1.594439158517167E-001,-3.394918273508397E-002,-1.949045800267751E-003,1.581423706008068E-003,-1.386807308851146E+000,6.775592891413974E-001,7.455555754256171E-002,1.428060614065458E-001,
2.397450800903741E+009,1.430089748948305E-001,-3.301099578418972E-002,7.821016219837252E-004,7.099111342825234E-004,-1.375836600253922E+000,6.583673303152799E-001,6.838600987062506E-002,1.324433128556636E-001,
2.397464786084117E+009,1.770076942866833E-001,-3.474963569404730E-002,-9.194762838588674E-004,1.110070934559173E-003,-1.397573004780760E+000,6.951340156152142E-001,6.914917385149591E-002,1.636909013839829E-001,
2.397478771346074E+009,1.383262956841057E-001,-3.429569303448807E-002,-6.441320378544088E-003,-1.777379988618149E-003,-1.386454673786581E+000,7.101047873536692E-001,7.293359734425510E-002,1.227652055383686E-001,
2.397492756689612E+009,1.610629881599072E-001,-4.146489990444228E-002,-4.941054202738411E-003,-3.548520227061341E-003,-1.423957086733614E+000,6.598829817519545E-001,8.051127380835976E-002,1.405597615607615E-001,
2.397506742114731E+009,1.729024256395129E-001,-2.814553011961459E-002,-1.182966332159963E-003,-1.936534053844902E-003,-1.381108295782234E+000,6.656565322178991E-001,5.859136409817515E-002,1.452351599691738E-001,
2.397520727621432E+009,1.544116774897385E-001,-2.637800905319394E-002,3.510201239259327E-003,1.097043165400756E-003,-1.368367599031224E+000,6.782016832048706E-001,7.318780575725620E-002,1.369720840265733E-001,
2.397534713209715E+009,1.610208571657468E-001,-2.752416837075498E-002,-1.216352955764261E-003,-4.229456811775149E-003,-1.382214501084743E+000,7.116743227445059E-001,6.894416173318427E-002,1.507402951789437E-001,
2.397548698879582E+009,1.539977149123337E-001,-2.959312916133423E-002,-3.378257278428496E-003,-1.372995455061192E-004,-1.386873752396590E+000,7.106947718895864E-001,7.084238545798749E-002,1.379809703012268E-001,
2.397562684631032E+009,1.471321227402876E-001,-4.089639279214678E-002,-3.014795252575874E-003,-6.094986303034207E-004,-1.362890604428255E+000,7.185747112025693E-001,7.641326779706147E-002,1.471481636976205E-001,
2.397576670464065E+009,1.543813407877495E-001,-4.747215106664782E-002,-6.133364106176891E-003,1.217448925552645E-003,-1.392124019840945E+000,6.971055987112040E-001,7.216942883609474E-002,1.450584300731342E-001,
2.397590656378683E+009,1.531069349361471E-001,-3.086357194004981E-002,-6.676832102820703E-004,4.791067436522305E-003,-1.366388790518943E+000,7.107796580797108E-001,6.248559385386181E-002,1.346293700432148E-001,
2.397604642374886E+009,1.607063127758109E-001,-3.335713645773423E-002,2.701313615786156E-003,3.359738691246776E-003,-1.370192897589641E+000,7.329310589868447E-001,9.734942053975695E-002,1.517724750030306E-001,
2.397618628452674E+009,1.663287957303413E-001,-1.623680574895129E-002,-1.714256055180328E-003,1.044027874838309E-003,-1.324414117790776E+000,6.858605750904833E-001,6.748669818838543E-002,1.362938566022185E-001,
2.397632614612048E+009,1.286766563140008E-001,-2.933719001140346E-002,2.755551967002721E-003,1.686855011778341E-003,-1.346322177621059E+000,7.393174622395504E-001,8.089180212448632E-002,1.201889555636292E-001,
2.397646600853008E+009,1.464263937520121E-001,-4.840326796444856E-002,3.611104914740730E-005,2.021097969224373E-003,-1.381323055454597E+000,7.066218558696169E-001,8.357449369978517E-002,1.326103679032028E-001,
2.397660587175554E+009,1.466638403580942E-001,-2.858938917761156E-002,-1.512654000073091E-003,-6.057979177178285E-003,-1.361420400312431E+000,7.387497325191573E-001,7.789773322364463E-002,1.540094289001013E-001,
2.397674573579688E+009,1.562477149789263E-001,-3.514471703067874E-002,-2.538294221225384E-003,-1.009072077548894E-003,-1.352515470604074E+000,7.371902569394764E-001,7.825554117674580E-002,1.440577197801017E-001,
2.397688560065410E+009,1.550821750253558E-001,-4.721077543726798E-002,-3.105615266268839E-003,-1.990248439570084E-003,-1.385764238347665E+000,7.311708263568004E-001,8.905754356143772E-002,1.310303244339172E-001,
2.397702546632720E+009,1.362190166307680E-001,-2.668267442272551E-002,2.882420265796503E-003,5.925777104805807E-004,-1.350836052644971E+000,7.244655011710930E-001,6.961301430235138E-002,1.347317171089788E-001,
2.397716533281618E+009,1.423816001203901E-001,-2.135681799544388E-002,6.009726554574601E-004,1.268892441676526E-003,-1.347779843275265E+000,7.147584922140873E-001,8.931328472716787E-002,1.255766194114165E-001,
2.397730520012105E+009,1.320460973367365E-001,-2.935741000705563E-002,-3.691616517203383E-004,-3.584467235677823E-003,-1.329118883889130E+000,7.406431642887823E-001,7.410682436746970E-002,1.362954697565734E-001,
2.397744506824182E+009,1.494303650202013E-001,-4.062249786714690E-002,1.509317477805343E-003,-2.376604567341768E-004,-1.374229479678425E+000,7.411464136229289E-001,7.023319722077967E-002,1.291783447103070E-001,
2.397758493717849E+009,1.423665697808684E-001,-4.583774227793066E-002,-2.812798764968442E-003,-1.115540307779822E-003,-1.330624797642934E+000,7.710922057820258E-001,7.925877147347793E-002,1.385680596639178E-001,
