timestamp,n,m,ph1,ph2,ph3,ph4,power_dbm,freq_hz
2026-04-07T17:06:39.870943,0,0,0,0,0,0,-85.7300,2345000000.80
2026-04-07T17:06:41.963043,0,1,0,1,2,3,-78.2900,2345000000.00
2026-04-07T17:06:44.051911,0,2,0,2,4,6,-76.9500,2344999999.90
2026-04-07T17:06:46.140856,0,3,0,3,6,9,-73.9300,2345000000.10
2026-04-07T17:06:48.224357,0,4,0,4,8,12,-72.9200,2344999999.90
2026-04-07T17:06:50.316655,0,5,0,5,10,15,-71.2000,2345000000.00
2026-04-07T17:06:52.408010,0,6,0,6,12,18,-70.6200,2345000000.00
2026-04-07T17:06:54.494725,0,7,0,7,14,21,-69.9800,2345000000.10
2026-04-07T17:06:56.581612,0,8,0,8,16,24,-71.4200,2344999999.50
2026-04-07T17:06:58.673862,0,9,0,9,18,27,-81.8500,2345000000.10
2026-04-07T17:07:00.767133,0,10,0,10,20,30,-72.4400,2344999999.90
2026-04-07T17:07:02.856498,0,11,0,11,22,33,-69.7200,2345000000.00
2026-04-07T17:07:04.948173,0,12,0,12,24,36,-69.5400,2345000000.19
2026-04-07T17:07:07.037283,0,13,0,13,26,39,-68.8600,2345000000.10
2026-04-07T17:07:09.123813,0,14,0,14,28,42,-69.1600,2345000000.50
2026-04-07T17:07:11.216463,0,15,0,15,30,45,-68.7700,2344999999.90
2026-04-07T17:07:13.304706,0,16,0,16,32,48,-67.9700,2345000000.10
2026-04-07T17:07:15.387549,0,17,0,17,34,51,-68.0900,2345000000.00
2026-04-07T17:07:17.471593,0,18,0,18,36,54,-67.6200,2345000000.10
2026-04-07T17:07:19.555230,0,19,0,19,38,57,-67.4200,2345000000.19
2026-04-07T17:07:21.636120,0,20,0,20,40,60,-67.0500,2345000000.00
2026-04-07T17:07:23.720798,0,21,0,21,42,63,-66.9000,2345000000.00
2026-04-07T17:07:26.879559,0,22,0,22,44,2,-66.1400,2345000000.00
2026-04-07T17:07:28.972096,0,23,0,23,46,5,-66.0600,2344999999.90
2026-04-07T17:07:31.056816,0,24,0,24,48,8,-65.5600,2344999999.90
2026-04-07T17:07:33.141547,0,25,0,25,50,11,-65.5500,2345000000.00
2026-04-07T17:07:35.234089,0,26,0,26,52,14,-65.0800,2345000000.10
