timestamp,phase_1,phase_2,phase_3,phase_4,power_dbm,freq_hz
2026-04-05T17:29:08.405936,0,0,0,0,-56.7900,2345000000.00
2026-04-05T17:29:08.942817,0,0,0,0,-56.8000,2345000000.00
2026-04-05T17:29:09.478228,8,0,0,0,-56.8100,2345000000.00
2026-04-05T17:29:10.016979,16,0,0,0,-56.8100,2345000000.00
2026-04-05T17:29:10.555214,24,0,0,0,-56.8000,2344999990.00
2026-04-05T17:29:11.095303,32,0,0,0,-56.8100,2345000000.00
2026-04-05T17:29:11.634108,40,0,0,0,-56.8000,2345000000.00
2026-04-05T17:29:12.171944,48,0,0,0,-56.8100,2344999990.00
2026-04-05T17:29:12.709900,56,0,0,0,-56.8100,2345000000.00
2026-04-05T17:29:13.249315,0,0,0,0,-56.8000,2345000000.00
2026-04-05T17:29:13.784283,0,8,0,0,-56.7900,2345000000.00
2026-04-05T17:29:14.321255,0,16,0,0,-56.8100,2345000000.00
2026-04-05T17:29:14.859679,0,24,0,0,-56.8100,2345000000.00
2026-04-05T17:29:15.398179,0,32,0,0,-56.8000,2345000000.00
2026-04-05T17:29:15.936370,0,40,0,0,-56.8100,2345000000.00
2026-04-05T17:29:16.474025,0,48,0,0,-56.8000,2345000000.00
2026-04-05T17:29:17.011494,0,56,0,0,-56.8000,2345000000.00
2026-04-05T17:29:17.550305,0,8,0,0,-56.8100,2345000000.00
2026-04-05T17:29:18.091647,0,8,8,0,-56.8100,2345000000.00
2026-04-05T17:29:18.628054,0,8,16,0,-56.8100,2345000000.00
2026-04-05T17:29:19.161697,0,8,24,0,-56.8000,2345000000.00
2026-04-05T17:29:19.700639,0,8,32,0,-56.8000,2345000000.00
2026-04-05T17:29:20.240735,0,8,40,0,-56.8100,2345000000.00
2026-04-05T17:29:20.778909,0,8,48,0,-56.8100,2345000000.00
2026-04-05T17:29:21.317647,0,8,56,0,-56.8100,2345000000.00
2026-04-05T17:29:21.857399,0,8,24,0,-56.8000,2345000000.00
2026-04-05T17:29:22.393533,0,8,24,8,-56.8000,2345000000.00
2026-04-05T17:29:22.932152,0,8,24,16,-56.8000,2345000000.00
2026-04-05T17:29:23.472105,0,8,24,24,-56.8000,2344999990.00
2026-04-05T17:29:24.012411,0,8,24,32,-56.8200,2345000000.00
2026-04-05T17:29:24.550982,0,8,24,40,-56.8200,2345000000.00
2026-04-05T17:29:25.090428,0,8,24,48,-56.8000,2345000000.00
2026-04-05T17:29:25.630626,0,8,24,56,-56.8000,2345000000.00
2026-04-05T17:29:26.171586,16,8,8,48,-56.8000,2344999990.00
2026-04-05T17:29:26.707553,0,0,0,0,-56.8000,2345000000.00
2026-04-05T17:29:27.247308,8,0,0,0,-56.8100,2345000000.00
2026-04-05T17:29:27.787423,16,0,0,0,-56.8000,2345000000.00
2026-04-05T17:29:28.324143,24,0,0,0,-56.8100,2345000000.00
2026-04-05T17:29:28.859260,32,0,0,0,-56.7900,2345000000.00
2026-04-05T17:29:29.399603,40,0,0,0,-56.8000,2345000000.00
2026-04-05T17:29:29.937363,48,0,0,0,-56.8000,2345000000.00
2026-04-05T17:29:30.472446,56,0,0,0,-56.7900,2345000000.00
2026-04-05T17:29:31.013183,32,0,0,0,-56.8000,2345000000.00
